"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?"
"youthreport1_missing_why","youth_report_1",,"dropdown","Why is this record permanently missing?","NOT_SAVED, Not saved on laptop | NOT_COLLECTED, Data were not collected | INCOMPLETE, Incomplete, could not be saved | OTHER, Other",,,,,,"[youthreport1_missing] = '1'","y",,,,
"youthreport1_missing_why_other","youth_report_1",,"notes","What is the ""Other"" reason why this record is missing?",,,,,,"y","[youthreport1_missing_why] = 'OTHER'","y",,,,
"youthreport1_record_id","youth_report_1",,"text","Import Record ID",,"Unique ID of the record imported from data capture laptops",,,,"y","[youthreport1_missing] != '1'","y",,,,
"youthreport1_date","youth_report_1",,"text","Administration Date",,,"date_ymd",,,"y","[youthreport1_missing] != '1'","y",,,,
"youthreport1_age","youth_report_1",,"text","Age at Youth Report 1",,,"number",0,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_id","youth_report_1","Administrative Fields","text","id",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_completed","youth_report_1",,"text","Completed",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_last_page_seen","youth_report_1",,"text","Last page seen",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_start_language","youth_report_1",,"text","Start language",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_token","youth_report_1",,"text","Token",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_date_last_action","youth_report_1",,"text","Date last action",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_date_started","youth_report_1",,"text","Date started",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ip_address","youth_report_1",,"text","IP address",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_interviewername","youth_report_1",,"text","What is the interviewer's name?

	(DO NOT record the youth's name anywhere in this protocol)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_date_interview","youth_report_1",,"text","Date of the interview",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_site2","youth_report_1",,"text","What Site?",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_versnum","youth_report_1",,"text","Version number of this survey",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_changes","youth_report_1",,"text","Changes?",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_porr","youth_report_1",,"text","Is this a PRACTICE RUN or REAL DATA?",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_regyrvisit","youth_report_1",,"dropdown","Is this a yearly interview?","1, Initial or regular yearly follow-up | 0, Substudy/other type of follow-up",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_year","youth_report_1",,"dropdown","How many years has this participant been followed? (baseline = 0)","0, Baseline | 1, One Year Follow-up | 2, Two Year Follow-up | 3, Three Year Follow-up | 4, Four Year Follow-up",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_npbdchecklist_npurine","youth_report_1","Complete collection of biological samples

	Please indicate which samples were collected today","dropdown","Urine Toxicology","1, Yes | 0, Not selected",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_notes1","youth_report_1",,"text","Notes:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_version","youth_report_1",,"text",,,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi2","youth_report_1",,"dropdown","Teen gender","0, Female | 1, Male",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi3","youth_report_1",,"text","Teen date of birth",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydiage","youth_report_1",,"text","What is your current age?",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi4","youth_report_1",,"text","What are your most recent grades like (estimate g.p.a. on 4-point scale)",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi5","youth_report_1",,"dropdown","Since we had our telephone interview with you, have you had any serious medical problems (like had to go to the hospital for something?)

	or had to take medicine every day for at least a month?","1, Yes | 0, No",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi5b","youth_report_1",,"text","Please describe any serious medical problems you have had since our phone interview.",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi6","youth_report_1",,"text","How many biological (same mother and father as you) brothers and sisters do you have in your current family (that is, living in the same household)?",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi7","youth_report_1",,"text","How many step/half or adoptive brothers and sisters do you have in your current family (that is, living in the same household)?",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi8","youth_report_1",,"text","Where do you fit in the order of the children in your biological family?

For example: First child born = 1",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi9","youth_report_1",,"dropdown","What is your current living arrangement?","1, Biological parents | 2, Adoptive parents | 3, One parent | 4, Biological mother and step-father | 5, Biological father and step-mother | 6, Other relatives (not parents) | 7, Foster home | 8, Temporary setting (group home) | 9, Institution (hospital, rehabilitation center) | 10, Transient (streets, crash pad, shooting gallery) | 11, Alone | 12, Friends/Roommates | 13, Partner/Spouse | 14, Partner and Children | 15, Alone with Children | 16, School/College dormitory | 17, Other",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ygi9b","youth_report_1",,"text","Please describe your current living situation.",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi10","youth_report_1",,"dropdown","Are your parents married?","1, Single | 2, Living with partner, unmarried | 3, Married | 4, Separated | 5, Divorced | 6, Widowed",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi11","youth_report_1",,"dropdown","Do you have a job?","1, Never had a job | 2, No, not now | 3, Yes, under 5 hours/week | 4, Yes, 5-10 hours/week | 5, Yes, 11-20 hours/week | 6, Yes, more than 20 hours/week",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi12","youth_report_1",,"dropdown","Do you date?","1, No, never dated | 2, No, not now | 3, Yes, only in group activities | 4, Yes, rarely (once every few months) | 5, Yes, occasionally (every couple of weeks) | 6, Yes, regularly (every week) | 7, Yes, steady boyfriend/girlfriend",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi13","youth_report_1",,"dropdown","Are you involved in any sports, clubs, recreational activities, or hobbies?","1, No | 2, Yes, rarely (less than once/month) | 3, Yes, occasionally (once/month) | 4, Yes, regularly (at least once/week)",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ygi13b","youth_report_1",,"text","Please note the hobbies, clubs, sports, and/or activities you are involved in.",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi14","youth_report_1",,"dropdown","What are your long-term plans?","1, Finish high school then get a job | 2, Go to college | 3, Go to college and then go to graduate school (or medical school or law school) | 4, Enlist in the military | 5, Go to trade school or vocational school | 6, Other",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ygi14b","youth_report_1",,"text","Please describe your long-term plans.",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi15","youth_report_1",,"dropdown","Did/do you ever wish you were born a girl?","1, Yes | 0, No",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi16","youth_report_1",,"dropdown","Did/do you ever wish you were born a boy?","1, Yes | 0, No",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi17","youth_report_1",,"dropdown","Do you consider yourself....","1, Heterosexual | 2, Homosexual | 3, Bisexual | 4, Prefer not to answer?",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi18","youth_report_1",,"dropdown","Have you ever wished you were born the sex opposite to the sex of your birth?","1, Yes | 0, No",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi19","youth_report_1",,"text","How many biological children have you had (given birth to or fathered)?",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi20","youth_report_1",,"text","In addition to any biological children, how many other children do you currently have guardianship for at least 50% of the time (adopted, foster, or step-kids, sibling)?",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ydi20b","youth_report_1",,"text","Please explain:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_testval","youth_report_1",,"text","youthreport1_testval",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi1_yfhi1a","youth_report_1","How many full (same mom and dad) siblings has your mother had who lived to  be at least 18 years of age?","text","mat uncle(s)",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi1_yfhi1b","youth_report_1",,"text","mat aunt(s)",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi2_yfhi2a","youth_report_1","How many full (same mom and dad) siblings has your father had who lived to  be at least 18 years of age?","text","mat uncle(s)",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi2_yfhi2b","youth_report_1",,"text","mat aunt(s)",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3","youth_report_1",,"dropdown","Has ANY blood relative of yours ever had any problems due to alcohol, such as:

	
		Marital separation or divorce
	
		Laid off or fired from work
	
		Arrests or DUIs
	
		Alcohol harmed their health
	
		In an alcohol treatment program
	
		Suspended or expelled from school 2 or more times
	
		Isolated self from family, caused arguments or were drunk a lot?

INTERVIEWER: Indicate relatives with ≥ 2 problems:","1, Yes | 0, No",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3a_yfhi3a","youth_report_1","Indicate relatives with ≥ 2 problems:","dropdown","biodad","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3a_yfhi3b","youth_report_1",,"dropdown","pat grandpa","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3a_yfhi3c","youth_report_1",,"dropdown","pat grandma","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3a_yfhi3f","youth_report_1",,"dropdown","biomom","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3a_yfhi3g","youth_report_1",,"dropdown","mat grandpa","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3a_yfhi3h","youth_report_1",,"dropdown","mat grandma","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3d_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","pat uncle(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3d_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","pat uncle(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3e_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","pat aunt(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3e_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","pat aunt(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3i_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","mat uncle(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3i_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","mat uncle(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3j_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","mat aunt(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3j_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","mat aunt(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3k_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","full sibling(s)-younger",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3k_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","full sibling(s)-younger",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3l_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","full sibling(s)-older",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3l_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","full sibling(s)-older",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3m_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","half sibling(s)-younger",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3m_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","half sibling(s)-younger",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3n_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","half sibling(s)-older",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3b_yfhi3n_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","half sibling(s)-older",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi3com","youth_report_1",,"text","Please comment on the specific problems the youth's blood relatives have had in the past due to alcohol.",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4","youth_report_1",,"dropdown","Has ANY blood relative of yours (including bio mother and father) ever had any problems due to drugs, such as:

	
		Marital separation or divorce
	
		Laid off or fired from work
	
		Arrests or DUIs
	
		Drugs harmed their health
	
		In an drug treatment program
	
		Suspended or expelled from school 2 or more times
	
		Isolated self from family, caused arguments or were high a lot?

INTERVIEWER: Indicate relatives with ≥ 2 problems:","1, Yes | 0, No",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4a_yfhi4a","youth_report_1","Indicate relatives with ≥ 2 problems:","dropdown","biodad","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4a_yfhi4b","youth_report_1",,"dropdown","pat grandpa","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4a_yfhi4c","youth_report_1",,"dropdown","pat grandma","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4a_yfhi4f","youth_report_1",,"dropdown","biomom","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4a_yfhi4g","youth_report_1",,"dropdown","mat grandpa","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4a_yfhi4h","youth_report_1",,"dropdown","mat grandma","1, Yes | 0, No | 2, Not Sure",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4d_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","pat uncle(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4d_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","pat uncle(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4e_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","pat aunt(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4e_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","pat aunt(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4i_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","mat uncle(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4i_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","mat uncle(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4j_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","mat aunt(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4j_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","mat aunt(s)",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4k_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","full sibling(s)-younger",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4k_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","full sibling(s)-younger",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4l_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","full sibling(s)-older",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4l_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","full sibling(s)-older",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4m_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","half sibling(s)-younger",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4m_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","half sibling(s)-younger",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4n_1","youth_report_1","[Number:] Indicate relatives with ≥ 2 problems:","text","half sibling(s)-older",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4b_yfhi4n_2","youth_report_1","[Rel. code:] Indicate relatives with ≥ 2 problems:","text","half sibling(s)-older",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi4com","youth_report_1",,"text","Please comment on the specific problems the youth's blood relatives have had due to drugs.",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_testval2","youth_report_1",,"text","youthreport1_testval2",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5","youth_report_1",,"dropdown","Have any of your relatives ever had a period lasting six months when they saw visions or heard voices or thought people were spying on them or plotting against them?","1, Yes | 0, No",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5a","youth_report_1",,"dropdown","Relationship","1, biodad | 2, pat grandpa | 3, pat grandma | 4, pat uncle | 5, pat aunt | 6, biomom | 7, mat grandpa | 8, mat grandma | 9, mat uncle | 10, mat aunt | 11, siblings | 12, half siblings",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5b","youth_report_1",,"text","Code:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5c","youth_report_1",,"text","Description:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5a2","youth_report_1",,"dropdown","Relationship","1, biodad | 2, pat grandpa | 3, pat grandma | 4, pat uncle | 5, pat aunt | 6, biomom | 7, mat grandpa | 8, mat grandma | 9, mat uncle | 10, mat aunt | 11, siblings | 12, half siblings",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5b2","youth_report_1",,"text","Code:",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5c2","youth_report_1",,"text","Description:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5a3","youth_report_1",,"dropdown","Relationship","1, biodad | 2, pat grandpa | 3, pat grandma | 4, pat uncle | 5, pat aunt | 6, biomom | 7, mat grandpa | 8, mat grandma | 9, mat uncle | 10, mat aunt | 11, siblings | 12, half siblings",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5b3","youth_report_1",,"text","Code:",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5c3","youth_report_1",,"text","Description:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5a4","youth_report_1",,"dropdown","Relationship","1, biodad | 2, pat grandpa | 3, pat grandma | 4, pat uncle | 5, pat aunt | 6, biomom | 7, mat grandpa | 8, mat grandma | 9, mat uncle | 10, mat aunt | 11, siblings | 12, half siblings",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5b4","youth_report_1",,"text","Code:",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5c4","youth_report_1",,"text","Description:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5a5","youth_report_1",,"dropdown","Relationship","1, biodad | 2, pat grandpa | 3, pat grandma | 4, pat uncle | 5, pat aunt | 6, biomom | 7, mat grandpa | 8, mat grandma | 9, mat uncle | 10, mat aunt | 11, siblings | 12, half siblings",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5b5","youth_report_1",,"text","Code:",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5c5","youth_report_1",,"text","Description:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5a6","youth_report_1",,"dropdown","Relationship","1, biodad | 2, pat grandpa | 3, pat grandma | 4, pat uncle | 5, pat aunt | 6, biomom | 7, mat grandpa | 8, mat grandma | 9, mat uncle | 10, mat aunt | 11, siblings | 12, half siblings",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5b6","youth_report_1",,"text","Code:",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5c6","youth_report_1",,"text","Description:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5a7","youth_report_1",,"dropdown","Relationship","1, biodad | 2, pat grandpa | 3, pat grandma | 4, pat uncle | 5, pat aunt | 6, biomom | 7, mat grandpa | 8, mat grandma | 9, mat uncle | 10, mat aunt | 11, siblings | 12, half siblings",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5b7","youth_report_1",,"text","Code:",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5c7","youth_report_1",,"text","Description:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5a8","youth_report_1",,"dropdown","Relationship","1, biodad | 2, pat grandpa | 3, pat grandma | 4, pat uncle | 5, pat aunt | 6, biomom | 7, mat grandpa | 8, mat grandma | 9, mat uncle | 10, mat aunt | 11, siblings | 12, half siblings",,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5b8","youth_report_1",,"text","Code:",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_yfhi5c8","youth_report_1",,"text","Description:",,,,,,,"[youthreport1_missing] != '1'",,,,,
"youthreport1_ses1","youth_report_1",,"text","Think of this ladder as representing where people stand in their communities.

	People define community in different ways; please define it in whatever way is most meaningful to you. At the top of the ladder are the people who have the highest standing in their community. At the bottom are the people who have the lowest standing in their community.

	Where would you place yourself on this ladder?

	Please indicate the rung where you think you stand at this time in your life, relative to other people in your community.

	NOTE: Interviewer indicate the numerical code from which rung number indicated by the participant (1-10).",,,"number",,,,"[youthreport1_missing] != '1'",,,,,
