"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?"
"pasat_disexp","paced_auditory_serial_addition_test_pasat",,"text","DisExp",,,"number",,,,,,,,,
"pasat_fruexp","paced_auditory_serial_addition_test_pasat",,"text","FruExp",,,"number",,,,,,,,,
"pasat_irrexp","paced_auditory_serial_addition_test_pasat",,"text","IrrExp",,,"number",,,,,,,,,
"ssaga_youth_subject_id","ssaga_youth","Edit these fields to correct subject/visit assignment (leave empty to keep ID and date as contained in Record ID above)","text","Subject ID",,,,,,,,,,,,
"ssaga_youth_date","ssaga_youth",,"text","Date of Test",,,"date_ymd",,,"y",,,,,,
"ssaga_youth_exclude","ssaga_youth",,"yesno","Exclude this record?",,"Setting this to ""Yes"" will exclude this record from the compiled dataset",,,,,,,,,,
"ssaga_youth_exclude_reason","ssaga_youth",,"notes","Why is this record being excluded?",,,,,,,"[ssaga_youth_exclude] = '1'","y",,,,
"ssaga_youth_copy_complete","ssaga_youth","Raw Fields","text","Copied Fields Complete?",,,"binary",,,,,,,,,
"ssaga_youth_dotest","ssaga_youth",,"text","Recorded Date of Test",,,,,,,,,,,,
"ssaga_youth_al1a","ssaga_youth",,"text","Never Had One Drink",,"ssaga_youth_al1a",,,,,,,,,,
"ssaga_youth_al1ageons","ssaga_youth",,"text","Age of Onset",,"ssaga_youth_al1ageons",,,,,,,,,,
"ssaga_youth_as10a","ssaga_youth",,"text","How Many Times Hurt Animals",,"ssaga_youth_as10a",,,,,,,,,,
"ssaga_youth_as11","ssaga_youth",,"text","Ever Told A Lot Of Lies",,"ssaga_youth_as11",,,,,,,,,,
"ssaga_youth_as14","ssaga_youth",,"text","More Than Once Steal Money From From Family/Friends",,"ssaga_youth_as14",,,,,,,,,,
"ssaga_youth_as14b","ssaga_youth",,"text","More Than Once Shoplift or Steal From Others",,"ssaga_youth_as14b",,,,,,,,,,
"ssaga_youth_as15","ssaga_youth",,"text","Ever Break Into Other People's Property",,"ssaga_youth_as15",,,,,,,,,,
"ssaga_youth_as16","ssaga_youth",,"text","Ever Used Force to Take Money/Property",,"ssaga_youth_as16",,,,,,,,,,
"ssaga_youth_as17a","ssaga_youth",,"text","Ever Set Fire W/ Intention of Damage",,"ssaga_youth_as17a",,,,,,,,,,
"ssaga_youth_as18b","ssaga_youth",,"text","Ever Damage Property Before 15 y.o.",,"ssaga_youth_as18b",,,,,,,,,,
"ssaga_youth_as19","ssaga_youth",,"text","Ever Physically Injured Someone On Purpose",,"ssaga_youth_as19",,,,,,,,,,
"ssaga_youth_as1_ao11","ssaga_youth",,"text","Age, Used An Alias to Take Advantage of Someone",,"ssaga_youth_as1_ao11",,,,,,,,,,
"ssaga_youth_as1_ao11dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as1_ao11dk",,,,,,,,,,
"ssaga_youth_as1_ao15","ssaga_youth",,"text","Age, Break Into Other  People's Property",,"ssaga_youth_as1_ao15",,,,,,,,,,
"ssaga_youth_as1_ao15dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as1_ao15dk",,,,,,,,,,
"ssaga_youth_as1_ao16","ssaga_youth",,"text","Age, Use Force to Take Money/Property",,"ssaga_youth_as1_ao16",,,,,,,,,,
"ssaga_youth_as1_ao16dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as1_ao16dk",,,,,,,,,,
"ssaga_youth_as1_ao17","ssaga_youth",,"text","Age, Set Fires",,"ssaga_youth_as1_ao17",,,,,,,,,,
"ssaga_youth_as1_ao17dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as1_ao17dk",,,,,,,,,,
"ssaga_youth_as1_ao18","ssaga_youth",,"text","Age, Damage Other's Property",,"ssaga_youth_as1_ao18",,,,,,,,,,
"ssaga_youth_as1_ao18dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as1_ao18dk",,,,,,,,,,
"ssaga_youth_as1_ao19","ssaga_youth",,"text","Age, Physically Injure Someone",,"ssaga_youth_as1_ao19",,,,,,,,,,
"ssaga_youth_as1_ao19dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as1_ao19dk",,,,,,,,,,
"ssaga_youth_as1_ao20","ssaga_youth",,"text","Age, Injure Someone W/ Weapon",,"ssaga_youth_as1_ao20",,,,,,,,,,
"ssaga_youth_as1_ao20dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as1_ao20dk",,,,,,,,,,
"ssaga_youth_as20","ssaga_youth",,"text","Ever Use Weapon to Injure Someone",,"ssaga_youth_as20",,,,,,,,,,
"ssaga_youth_as2a","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as2a",,,,,,,,,,
"ssaga_youth_as2_ao11","ssaga_youth",,"text","Age, when you first told a lot of lies",,"ssaga_youth_as2_ao11",,,,,,,,,,
"ssaga_youth_as2_ao11dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as2_ao11dk",,,,,,,,,,
"ssaga_youth_as2_ao15","ssaga_youth",,"text","Age, Break Into Property, Under Influence",,"ssaga_youth_as2_ao15",,,,,,,,,,
"ssaga_youth_as2_ao15dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as2_ao15dk",,,,,,,,,,
"ssaga_youth_as2_ao16","ssaga_youth",,"text","Age Use Force to Take Money/Property Under Influence",,"ssaga_youth_as2_ao16",,,,,,,,,,
"ssaga_youth_as2_ao16dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as2_ao16dk",,,,,,,,,,
"ssaga_youth_as2_ao17","ssaga_youth",,"text","Age Set Fires Under Influence",,"ssaga_youth_as2_ao17",,,,,,,,,,
"ssaga_youth_as2_ao17dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as2_ao17dk",,,,,,,,,,
"ssaga_youth_as2_ao18","ssaga_youth",,"text","Age, Damage Other's Property Under Influence",,"ssaga_youth_as2_ao18",,,,,,,,,,
"ssaga_youth_as2_ao18dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as2_ao18dk",,,,,,,,,,
"ssaga_youth_as2_ao19","ssaga_youth",,"text","Age, Physically Injure Someone Under Influence",,"ssaga_youth_as2_ao19",,,,,,,,,,
"ssaga_youth_as2_ao19dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as2_ao19dk",,,,,,,,,,
"ssaga_youth_as2_ao20","ssaga_youth",,"text","Age, Injure Someone W/ Weapon Under Influence",,"ssaga_youth_as2_ao20",,,,,,,,,,
"ssaga_youth_as2_ao20dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as2_ao20dk",,,,,,,,,,
"ssaga_youth_as2b","ssaga_youth",,"text","Ever been expelled from school",,"ssaga_youth_as2b",,,,,,,,,,
"ssaga_youth_as6b","ssaga_youth",,"text","Start a physical fight 3 or more times (other than siblings)",,"ssaga_youth_as6b",,,,,,,,,,
"ssaga_youth_as9","ssaga_youth",,"text","People complained you were a bully",,"ssaga_youth_as9",,,,,,,,,,
"ssaga_youth_asa1_ao14","ssaga_youth",,"text","Age, steal from friends, family, or relatives (alc/drg related)",,"ssaga_youth_asa1_ao14",,,,,,,,,,
"ssaga_youth_asa1_ao14dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_asa1_ao14dk",,,,,,,,,,
"ssaga_youth_asa2_ao14","ssaga_youth",,"text","Age, first steal from friends, family, or relatives (alc/drg related)",,"ssaga_youth_asa2_ao14",,,,,,,,,,
"ssaga_youth_asa2_ao14dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_asa2_ao14dk",,,,,,,,,,
"ssaga_youth_asa_ao2","ssaga_youth",,"text","Age, suspended from school",,"ssaga_youth_asa_ao2",,,,,,,,,,
"ssaga_youth_asa_ao2dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_asa_ao2dk",,,,,,,,,,
"ssaga_youth_as_ao10","ssaga_youth",,"text","Age, Injure Pet On Purpose",,"ssaga_youth_as_ao10",,,,,,,,,,
"ssaga_youth_as_ao10dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as_ao10dk",,,,,,,,,,
"ssaga_youth_as_ao9","ssaga_youth",,"text","Age, People Complained You Were A Bully",,"ssaga_youth_as_ao9",,,,,,,,,,
"ssaga_youth_as_ao9dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_as_ao9dk",,,,,,,,,,
"ssaga_youth_asb_ao2","ssaga_youth",,"text","Age, expelled from school",,"ssaga_youth_asb_ao2",,,,,,,,,,
"ssaga_youth_asb_ao2dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_asb_ao2dk",,,,,,,,,,
"ssaga_youth_asc1_ao14","ssaga_youth",,"text","Age, steal/shoplift",,"ssaga_youth_asc1_ao14",,,,,,,,,,
"ssaga_youth_asc1_ao14dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_asc1_ao14dk",,,,,,,,,,
"ssaga_youth_asc1_ao6","ssaga_youth",,"text","age, start fights w/ other than sibling",,"ssaga_youth_asc1_ao6",,,,,,,,,,
"ssaga_youth_asc1_ao6dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_asc1_ao6dk",,,,,,,,,,
"ssaga_youth_asc2_ao14","ssaga_youth",,"text","Age, steal/shoplift (alc/drg related)",,"ssaga_youth_asc2_ao14",,,,,,,,,,
"ssaga_youth_asc2_ao14dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_asc2_ao14dk",,,,,,,,,,
"ssaga_youth_asc2_ao6","ssaga_youth",,"text","age, start fights w/ other than sibling (alc/drg related)",,"ssaga_youth_asc2_ao6",,,,,,,,,,
"ssaga_youth_asc2_ao6dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_asc2_ao6dk",,,,,,,,,,
"ssaga_youth_dm8","ssaga_youth",,"text","Are you of Hispanic or Latino descent? ",,"ssaga_youth_dm8",,,,,,,,,,
"ssaga_youth_dm8b","ssaga_youth",,"text","To which racial group do you belong?",,"ssaga_youth_dm8b",,,,,,,,,,
"ssaga_youth_dm8_spec","ssaga_youth",,"text","Please specify.",,"ssaga_youth_dm8_spec",,,,,,,,,,
"ssaga_youth_dm15","ssaga_youth",,"text","Highest Grade Completed",,"ssaga_youth_dm15",,,,,,,,,,
"ssaga_youth_dp11","ssaga_youth",,"text","Feel guilty, things your fault, or bad person?",,"ssaga_youth_dp11",,,,,,,,,,
"ssaga_youth_dp12","ssaga_youth",,"text","Feel like a failure or worthless?",,"ssaga_youth_dp12",,,,,,,,,,
"ssaga_youth_dp15a","ssaga_youth",,"text","Thoughts of death/dying, wishing you were dead?",,"ssaga_youth_dp15a",,,,,,,,,,
"ssaga_youth_dp15b","ssaga_youth",,"text","Thoughts of taking your own life?",,"ssaga_youth_dp15b",,,,,,,,,,
"ssaga_youth_dp15c","ssaga_youth",,"text","Make a plan for committing suicide?",,"ssaga_youth_dp15c",,,,,,,,,,
"ssaga_youth_dp15d","ssaga_youth",,"text","Try to kill yourself?",,"ssaga_youth_dp15d",,,,,,,,,,
"ssaga_youth_dp3","ssaga_youth",,"text","Think about your most depressed period of time",,"ssaga_youth_dp3",,,,,,,,,,
"ssaga_youth_dp3_1","ssaga_youth",,"text","age, during most depressed period",,"ssaga_youth_dp3_1",,,,,,,,,,
"ssaga_youth_dp4a","ssaga_youth",,"text","Did you feel depressed, sad, empty or blue all day for 2+ weeks?",,"ssaga_youth_dp4a",,,,,,,,,,
"ssaga_youth_dp4b","ssaga_youth",,"text","Did you feel irritable all day for 2+ weeks?",,"ssaga_youth_dp4b",,,,,,,,,,
"ssaga_youth_oc1","ssaga_youth",,"text","Had Thoughts, Images, Impulses",,"ssaga_youth_oc1",,,,,,,,,,
"ssaga_youth_oc9","ssaga_youth",,"text","Repeat in certain order over and over",,"ssaga_youth_oc9",,,,,,,,,,
"ssaga_youth_oc_ao16","ssaga_youth",,"text","Age When OC Affected Normal Routine",,"ssaga_youth_oc_ao16",,,,,,,,,,
"ssaga_youth_oc_ao8","ssaga_youth",,"text","First Time Thoughts Interfered Normal Routine",,"ssaga_youth_oc_ao8",,,,,,,,,,
"ssaga_youth_pn1x","ssaga_youth",,"text","Sudden Panic in Normal Situations",,"ssaga_youth_pn1x",,,,,,,,,,
"ssaga_youth_pn2a","ssaga_youth",,"text","Ever Had 3 Panic Attacks Within 3 Weeks",,"ssaga_youth_pn2a",,,,,,,,,,
"ssaga_youth_pn2b","ssaga_youth",,"text","Ever Had 4 Panic Attacks Within 4 Weeks",,"ssaga_youth_pn2b",,,,,,,,,,
"ssaga_youth_pn5","ssaga_youth",,"text","How Many Episodes With 4 or More Symptoms",,"ssaga_youth_pn5",,,,,,,,,,
"ssaga_youth_pn_ao8","ssaga_youth",,"text","Age, first had frightened/anxiety attacks",,"ssaga_youth_pn_ao8",,,,,,,,,,
"ssaga_youth_pn_ao8dk","ssaga_youth",,"text","Was it when you were under:",,"ssaga_youth_pn_ao8dk",,,,,,,,,,
"ssaga_youth_ind_id","ssaga_youth","DX","text","Participant ID",,"Subject ID from SAS",,,,,,,,,,
"ssaga_youth_dm1","ssaga_youth",,"text","Sex of Participant",,"ssaga_youth_DM1",,,,,,,,,,
"ssaga_youth_otherdrugname","ssaga_youth",,"text","Other drug name",,"ssaga_youth_OtherDrugName",,,,,,,,,,
"ssaga_youth_otherdrugcode","ssaga_youth",,"text","Other drug code",,"ssaga_youth_OtherDrugCode",,,,,,,,,,
"ssaga_youth_tbd4dpsx","ssaga_youth",,"text","ssaga_youth_TBd4dpsx",,,,,,,,,,,,
"ssaga_youth_tbd4dpdx","ssaga_youth",,"text","ssaga_youth_TBd4dpdx",,,,,,,,,,,,
"ssaga_youth_tbd4d1","ssaga_youth",,"text","ssaga_youth_TBd4d1",,,,,,,,,,,,
"ssaga_youth_tbd4d2","ssaga_youth",,"text","ssaga_youth_TBd4d2",,,,,,,,,,,,
"ssaga_youth_tbd4d3","ssaga_youth",,"text","ssaga_youth_TBd4d3",,,,,,,,,,,,
"ssaga_youth_tbd4d4","ssaga_youth",,"text","ssaga_youth_TBd4d4",,,,,,,,,,,,
"ssaga_youth_tbd4d5","ssaga_youth",,"text","ssaga_youth_TBd4d5",,,,,,,,,,,,
"ssaga_youth_tbd4d6","ssaga_youth",,"text","ssaga_youth_TBd4d6",,,,,,,,,,,,
"ssaga_youth_tbd4d7","ssaga_youth",,"text","ssaga_youth_TBd4d7",,,,,,,,,,,,
"ssaga_youth_tbd4dpao","ssaga_youth",,"text","ssaga_youth_TBd4dpao",,,,,,,,,,,,
"ssaga_youth_ftnd1","ssaga_youth",,"text","ssaga_youth_FTND1",,,,,,,,,,,,
"ssaga_youth_ftnd2","ssaga_youth",,"text","ssaga_youth_FTND2",,,,,,,,,,,,
"ssaga_youth_ftnd3","ssaga_youth",,"text","ssaga_youth_FTND3",,,,,,,,,,,,
"ssaga_youth_ftnd4","ssaga_youth",,"text","ssaga_youth_FTND4",,,,,,,,,,,,
"ssaga_youth_ftnd5","ssaga_youth",,"text","ssaga_youth_FTND5",,,,,,,,,,,,
"ssaga_youth_ftnd6","ssaga_youth",,"text","ssaga_youth_FTND6",,,,,,,,,,,,
"ssaga_youth_ftndscore","ssaga_youth",,"text","ssaga_youth_FTNDscore",,,,,,,,,,,,
"ssaga_youth_aldrdpdx","ssaga_youth",,"text","ssaga_youth_aldrdpdx",,,,,,,,,,,,
"ssaga_youth_aldrdpa","ssaga_youth",,"text","ssaga_youth_aldrdpa",,,,,,,,,,,,
"ssaga_youth_aldrdpb","ssaga_youth",,"text","ssaga_youth_aldrdpb",,,,,,,,,,,,
"ssaga_youth_aldrabdx","ssaga_youth",,"text","ssaga_youth_aldrabdx",,,,,,,,,,,,
"ssaga_youth_aldrdpsx","ssaga_youth",,"text","ssaga_youth_aldrdpsx",,,,,,,,,,,,
"ssaga_youth_aldraba1","ssaga_youth",,"text","ssaga_youth_aldraba1",,,,,,,,,,,,
"ssaga_youth_aldraba2","ssaga_youth",,"text","ssaga_youth_aldraba2",,,,,,,,,,,,
"ssaga_youth_ald4dpsx","ssaga_youth",,"text","ssaga_youth_ald4dpsx",,,,,,,,,,,,
"ssaga_youth_ald4dpdx","ssaga_youth",,"text","ssaga_youth_ald4dpdx",,,,,,,,,,,,
"ssaga_youth_ald4abdx","ssaga_youth",,"text","ssaga_youth_ald4abdx",,,,,,,,,,,,
"ssaga_youth_ald4absx","ssaga_youth",,"text","ssaga_youth_ald4absx",,,,,,,,,,,,
"ssaga_youth_ald4d1","ssaga_youth",,"text","ssaga_youth_ald4d1",,,,,,,,,,,,
"ssaga_youth_ald4d2","ssaga_youth",,"text","ssaga_youth_ald4d2",,,,,,,,,,,,
"ssaga_youth_ald4dpao","ssaga_youth",,"text","ssaga_youth_ald4dpao",,,,,,,,,,,,
"ssaga_youth_ald4d3","ssaga_youth",,"text","ssaga_youth_ald4d3",,,,,,,,,,,,
"ssaga_youth_ald4d4","ssaga_youth",,"text","ssaga_youth_ald4d4",,,,,,,,,,,,
"ssaga_youth_ald4d5","ssaga_youth",,"text","ssaga_youth_ald4d5",,,,,,,,,,,,
"ssaga_youth_ald4d6","ssaga_youth",,"text","ssaga_youth_ald4d6",,,,,,,,,,,,
"ssaga_youth_ald4d7","ssaga_youth",,"text","ssaga_youth_ald4d7",,,,,,,,,,,,
"ssaga_youth_ald4dpa","ssaga_youth",,"text","ssaga_youth_ald4dpa",,,,,,,,,,,,
"ssaga_youth_ald4dpb","ssaga_youth",,"text","ssaga_youth_ald4dpb",,,,,,,,,,,,
"ssaga_youth_alyrcluster","ssaga_youth",,"text","ssaga_youth_ALYrCluster",,,,,,,,,,,,
"ssaga_youth_ald4aba1","ssaga_youth",,"text","ssaga_youth_ald4aba1",,,,,,,,,,,,
"ssaga_youth_ald4aba2","ssaga_youth",,"text","ssaga_youth_ald4aba2",,,,,,,,,,,,
"ssaga_youth_ald4aba3","ssaga_youth",,"text","ssaga_youth_ald4aba3",,,,,,,,,,,,
"ssaga_youth_ald4aba4","ssaga_youth",,"text","ssaga_youth_ald4aba4",,,,,,,,,,,,
"ssaga_youth_ald4aba","ssaga_youth",,"text","ssaga_youth_ald4aba",,,,,,,,,,,,
"ssaga_youth_ald4abb","ssaga_youth",,"text","ssaga_youth_ald4abb",,,,,,,,,,,,
"ssaga_youth_ald4ag1","ssaga_youth",,"text","ssaga_youth_ald4ag1",,,,,,,,,,,,
"ssaga_youth_ald4ag2","ssaga_youth",,"text","ssaga_youth_ald4ag2",,,,,,,,,,,,
"ssaga_youth_ald4ag3","ssaga_youth",,"text","ssaga_youth_ald4ag3",,,,,,,,,,,,
"ssaga_youth_ald4ag4","ssaga_youth",,"text","ssaga_youth_ald4ag4",,,,,,,,,,,,
"ssaga_youth_ald4ag5","ssaga_youth",,"text","ssaga_youth_ald4ag5",,,,,,,,,,,,
"ssaga_youth_ald4ag6","ssaga_youth",,"text","ssaga_youth_ald4ag6",,,,,,,,,,,,
"ssaga_youth_ald4ag7","ssaga_youth",,"text","ssaga_youth_ald4ag7",,,,,,,,,,,,
"ssaga_youth_alcddpdx","ssaga_youth",,"text","ssaga_youth_alcddpdx",,,,,,,,,,,,
"ssaga_youth_alcddpsx","ssaga_youth",,"text","ssaga_youth_alcddpsx",,,,,,,,,,,,
"ssaga_youth_alcddpao","ssaga_youth",,"text","ssaga_youth_alcddpao",,,,,,,,,,,,
"ssaga_youth_alcddpa","ssaga_youth",,"text","ssaga_youth_alcddpa",,,,,,,,,,,,
"ssaga_youth_alfgn","ssaga_youth",,"text","ssaga_youth_alfgn",,,,,,,,,,,,
"ssaga_youth_alfgn_a","ssaga_youth",,"text","ssaga_youth_alfgn_a",,,,,,,,,,,,
"ssaga_youth_alfgn_b","ssaga_youth",,"text","ssaga_youth_alfgn_b",,,,,,,,,,,,
"ssaga_youth_alfgn_c","ssaga_youth",,"text","ssaga_youth_alfgn_c",,,,,,,,,,,,
"ssaga_youth_alfgn_d","ssaga_youth",,"text","ssaga_youth_alfgn_d",,,,,,,,,,,,
"ssaga_youth_alfgncnt","ssaga_youth",,"text","ssaga_youth_alfgncnt",,,,,,,,,,,,
"ssaga_youth_icd10_m2","ssaga_youth",,"text","ssaga_youth_icd10_m2",,,,,,,,,,,,
"ssaga_youth_icd10_m1","ssaga_youth",,"text","ssaga_youth_icd10_m1",,,,,,,,,,,,
"ssaga_youth_dsm4_m2","ssaga_youth",,"text","ssaga_youth_dsm4_m2",,,,,,,,,,,,
"ssaga_youth_dsm4_m1","ssaga_youth",,"text","ssaga_youth_dsm4_m1",,,,,,,,,,,,
"ssaga_youth_coga_m2","ssaga_youth",,"text","ssaga_youth_coga_m2",,,,,,,,,,,,
"ssaga_youth_coga_m1","ssaga_youth",,"text","ssaga_youth_coga_m1",,,,,,,,,,,,
"ssaga_youth_mjdrdpdx","ssaga_youth",,"text","ssaga_youth_mjdrdpdx",,,,,,,,,,,,
"ssaga_youth_mjdrdpa","ssaga_youth",,"text","ssaga_youth_mjdrdpa",,,,,,,,,,,,
"ssaga_youth_mjdrdpb","ssaga_youth",,"text","ssaga_youth_mjdrdpb",,,,,,,,,,,,
"ssaga_youth_mjdrabdx","ssaga_youth",,"text","ssaga_youth_mjdrabdx",,,,,,,,,,,,
"ssaga_youth_mjdrdpsx","ssaga_youth",,"text","ssaga_youth_mjdrdpsx",,,,,,,,,,,,
"ssaga_youth_mjd4dpsx","ssaga_youth",,"text","ssaga_youth_mjd4dpsx",,,,,,,,,,,,
"ssaga_youth_mjd4dpdx","ssaga_youth",,"text","ssaga_youth_mjd4dpdx",,,,,,,,,,,,
"ssaga_youth_mjd4dpao","ssaga_youth",,"text","ssaga_youth_mjd4dpao",,,,,,,,,,,,
"ssaga_youth_mjd4abdx","ssaga_youth",,"text","ssaga_youth_mjd4abdx",,,,,,,,,,,,
"ssaga_youth_mjd4absx","ssaga_youth",,"text","ssaga_youth_mjd4absx",,,,,,,,,,,,
