survey_var,evioni_var,description,test,values,notes
CPF_A.CPF_TRIAL000003_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000003_CORR,CPF.q3_corr,Response correct for trial 3,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000004_RESP,CPF.q4_resp,Response for trial 4,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000004_TTR,CPF.q4_ttr,Time to respond (ms) for trial 4,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000004_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000004_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000004_CORR,CPF.q4_corr,Response correct for trial 4,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000005_RESP,CPF.q5_resp,Response for trial 5,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000005_TTR,CPF.q5_ttr,Time to respond (ms) for trial 5,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000005_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000005_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000005_CORR,CPF.q5_corr,Response correct for trial 5,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000006_RESP,CPF.q6_resp,Response for trial 6,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000006_TTR,CPF.q6_ttr,Time to respond (ms) for trial 6,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000006_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000006_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000006_CORR,CPF.q6_corr,Response correct for trial 6,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000007_RESP,CPF.q7_resp,Response for trial 7,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000007_TTR,CPF.q7_ttr,Time to respond (ms) for trial 7,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000007_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000007_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000007_CORR,CPF.q7_corr,Response correct for trial 7,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000008_RESP,CPF.q8_resp,Response for trial 8,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000008_TTR,CPF.q8_ttr,Time to respond (ms) for trial 8,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000008_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000008_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000008_CORR,CPF.q8_corr,Response correct for trial 8,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000009_RESP,CPF.q9_resp,Response for trial 9,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000009_TTR,CPF.q9_ttr,Time to respond (ms) for trial 9,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000009_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000009_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000009_CORR,CPF.q9_corr,Response correct for trial 9,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000010_RESP,CPF.q10_resp,Response for trial 10,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000010_TTR,CPF.q10_ttr,Time to respond (ms) for trial 10,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000010_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000010_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000010_CORR,CPF.q10_corr,Response correct for trial 10,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000011_RESP,CPF.q11_resp,Response for trial 11,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000011_TTR,CPF.q11_ttr,Time to respond (ms) for trial 11,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000011_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000011_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000011_CORR,CPF.q11_corr,Response correct for trial 11,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000012_RESP,CPF.q12_resp,Response for trial 12,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000012_TTR,CPF.q12_ttr,Time to respond (ms) for trial 12,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000012_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000012_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000012_CORR,CPF.q12_corr,Response correct for trial 12,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000013_RESP,CPF.q13_resp,Response for trial 13,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000013_TTR,CPF.q13_ttr,Time to respond (ms) for trial 13,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000013_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000013_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000013_CORR,CPF.q13_corr,Response correct for trial 13,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000014_RESP,CPF.q14_resp,Response for trial 14,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000014_TTR,CPF.q14_ttr,Time to respond (ms) for trial 14,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000014_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000014_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000014_CORR,CPF.q14_corr,Response correct for trial 14,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000015_RESP,CPF.q15_resp,Response for trial 15,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000015_TTR,CPF.q15_ttr,Time to respond (ms) for trial 15,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000015_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000015_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000015_CORR,CPF.q15_corr,Response correct for trial 15,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000016_RESP,CPF.q16_resp,Response for trial 16,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000016_TTR,CPF.q16_ttr,Time to respond (ms) for trial 16,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000016_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000016_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000016_CORR,CPF.q16_corr,Response correct for trial 16,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000017_RESP,CPF.q17_resp,Response for trial 17,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000017_TTR,CPF.q17_ttr,Time to respond (ms) for trial 17,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000017_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000017_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000017_CORR,CPF.q17_corr,Response correct for trial 17,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000018_RESP,CPF.q18_resp,Response for trial 18,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000018_TTR,CPF.q18_ttr,Time to respond (ms) for trial 18,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000018_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000018_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000018_CORR,CPF.q18_corr,Response correct for trial 18,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000019_RESP,CPF.q19_resp,Response for trial 19,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000019_TTR,CPF.q19_ttr,Time to respond (ms) for trial 19,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000019_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000019_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000019_CORR,CPF.q19_corr,Response correct for trial 19,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000020_RESP,CPF.q20_resp,Response for trial 20,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000020_TTR,CPF.q20_ttr,Time to respond (ms) for trial 20,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000020_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000020_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000020_CORR,CPF.q20_corr,Response correct for trial 20,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000021_RESP,CPF.q21_resp,Response for trial 21,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000021_TTR,CPF.q21_ttr,Time to respond (ms) for trial 21,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000021_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000021_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000021_CORR,CPF.q21_corr,Response correct for trial 21,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000022_RESP,CPF.q22_resp,Response for trial 22,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000022_TTR,CPF.q22_ttr,Time to respond (ms) for trial 22,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000022_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000022_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000022_CORR,CPF.q22_corr,Response correct for trial 22,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000023_RESP,CPF.q23_resp,Response for trial 23,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000023_TTR,CPF.q23_ttr,Time to respond (ms) for trial 23,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000023_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000023_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000023_CORR,CPF.q23_corr,Response correct for trial 23,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000024_RESP,CPF.q24_resp,Response for trial 24,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000024_TTR,CPF.q24_ttr,Time to respond (ms) for trial 24,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000024_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000024_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000024_CORR,CPF.q24_corr,Response correct for trial 24,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000025_RESP,CPF.q25_resp,Response for trial 25,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000025_TTR,CPF.q25_ttr,Time to respond (ms) for trial 25,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000025_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000025_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000025_CORR,CPF.q25_corr,Response correct for trial 25,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000026_RESP,CPF.q26_resp,Response for trial 26,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000026_TTR,CPF.q26_ttr,Time to respond (ms) for trial 26,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000026_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000026_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000026_CORR,CPF.q26_corr,Response correct for trial 26,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000027_RESP,CPF.q27_resp,Response for trial 27,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000027_TTR,CPF.q27_ttr,Time to respond (ms) for trial 27,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000027_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000027_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000027_CORR,CPF.q27_corr,Response correct for trial 27,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000028_RESP,CPF.q28_resp,Response for trial 28,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000028_TTR,CPF.q28_ttr,Time to respond (ms) for trial 28,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000028_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000028_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000028_CORR,CPF.q28_corr,Response correct for trial 28,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000029_RESP,CPF.q29_resp,Response for trial 29,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000029_TTR,CPF.q29_ttr,Time to respond (ms) for trial 29,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000029_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000029_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000029_CORR,CPF.q29_corr,Response correct for trial 29,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000030_RESP,CPF.q30_resp,Response for trial 30,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000030_TTR,CPF.q30_ttr,Time to respond (ms) for trial 30,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000030_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000030_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000030_CORR,CPF.q30_corr,Response correct for trial 30,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000031_RESP,CPF.q31_resp,Response for trial 31,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000031_TTR,CPF.q31_ttr,Time to respond (ms) for trial 31,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000031_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000031_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000031_CORR,CPF.q31_corr,Response correct for trial 31,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000032_RESP,CPF.q32_resp,Response for trial 32,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000032_TTR,CPF.q32_ttr,Time to respond (ms) for trial 32,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000032_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000032_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000032_CORR,CPF.q32_corr,Response correct for trial 32,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000033_RESP,CPF.q33_resp,Response for trial 33,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000033_TTR,CPF.q33_ttr,Time to respond (ms) for trial 33,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000033_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000033_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000033_CORR,CPF.q33_corr,Response correct for trial 33,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000034_RESP,CPF.q34_resp,Response for trial 34,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000034_TTR,CPF.q34_ttr,Time to respond (ms) for trial 34,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000034_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000034_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000034_CORR,CPF.q34_corr,Response correct for trial 34,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000035_RESP,CPF.q35_resp,Response for trial 35,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000035_TTR,CPF.q35_ttr,Time to respond (ms) for trial 35,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000035_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000035_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000035_CORR,CPF.q35_corr,Response correct for trial 35,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000036_RESP,CPF.q36_resp,Response for trial 36,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000036_TTR,CPF.q36_ttr,Time to respond (ms) for trial 36,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000036_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000036_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000036_CORR,CPF.q36_corr,Response correct for trial 36,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000037_RESP,CPF.q37_resp,Response for trial 37,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000037_TTR,CPF.q37_ttr,Time to respond (ms) for trial 37,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000037_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000037_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000037_CORR,CPF.q37_corr,Response correct for trial 37,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000038_RESP,CPF.q38_resp,Response for trial 38,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000038_TTR,CPF.q38_ttr,Time to respond (ms) for trial 38,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000038_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000038_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000038_CORR,CPF.q38_corr,Response correct for trial 38,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000039_RESP,CPF.q39_resp,Response for trial 39,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000039_TTR,CPF.q39_ttr,Time to respond (ms) for trial 39,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000039_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000039_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000039_CORR,CPF.q39_corr,Response correct for trial 39,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000040_RESP,CPF.q40_resp,Response for trial 40,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000040_TTR,CPF.q40_ttr,Time to respond (ms) for trial 40,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000040_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000040_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000040_CORR,CPF.q40_corr,Response correct for trial 40,Penn Facial Memory Test,,
CPFD_A.ScorVers,CPFD,Current Programming Version of the Scoring Code,Penn Facial Memory Test - Delayed Version,,
CPFD_A.status,CPFD.status,Status Code Assigned to CPFD,Penn Facial Memory Test - Delayed Version,C; C1; C2; C3; I; I1; I2; I3; T;,C = Complete; C1 = Complete Good Quality Data; C2 = Complete Questionable Data; C3 = Complete Bad Data; I = Incomplete; I1 = Incomplete Good Quality Data; I2 = Incomplete Questionable Data; I3 = Complete Bad Data; 
CPFD_A.valid_code,CPFD.valid_code,Automated Validaton Code Assigned,Penn Facial Memory Test - Delayed Version,VC; V; F; 0; S; N; C; X; ,"VC = Computer Validated; V = Valid; F = Valid, problem occurred which affected performance, for a limited number of responses/mild to moderate effect; 0 = No autovalidation rule available;  S=Skipped; N=Not Valid; C = Assessor Comment; X = Excluded"
CPFD_A.CPFD_TP,CPFD.CPFDTP,CPFD True Positives,Penn Facial Memory Test - Delayed Version,,
